Long., Lat., Transv. Pred., Normal Pred., Capacity, Equiv. Dip, Transv. Trac., Normal Trac., Friction
169.573,-44.462,-0.0092,0.0164,8.54252151406695E-20,40,-1.34086,4.10496,0.037260231903604
169.253,-46.038,-0.0142,0.002,5.92765203855428E-20,25,-2.24646,0.37722,0.026421867025272
169.29,-45.96,0.0207,-0.1322,9.20318395785806E-19,25,1.44672,-11.26085,0.071614119983129
169.336,-45.906,0.031,-0.2279,3.17576890661155E-20,25,3.39534,-30.37793,0.15513785143799
169.377,-45.858,0.0459,-0.2179,1.24155334270056E-19,25,2.05897,-11.89907,0.075447114062263
169.419,-45.83,0.0342,-0.1137,3.26740762888464E-18,25,0.748,-3.08319,0.025252146207072
169.467,-45.817,-0.0156,0.0104,1.29410055192039E-19,65,-0.63121,0.53272,0.012995583966323
169.678,-44.133,-0.0232,0.0031,6.6354811690066E-21,40,-1.02346,0.23419,0.01758605269672
169.735,-44.053,0.1448,-0.1093,3.37974641894188E-18,40,2.80753,-3.61136,0.044107341293457
169.812,-43.986,0.3013,-0.2464,5.8821946537664E-19,40,7.59432,-10.58372,0.099445516915593
169.884,-43.918,0.1161,-0.1144,7.98551405341626E-19,40,5.16041,-8.66647,0.078757327375501
169.943,-43.856,-0.0172,0.0196,6.86724075550467E-19,40,-1.46515,2.83809,0.030616936321605
169.667,-44.614,-0.0059,0.028,2.11999843885941E-19,80,-0.5472,5.36235,0.014101640041694
169.687,-44.501,-0.0823,-0.163,1.28265082633918E-18,40,-2.60734,-9.32226,0.070055074646047
169.684,-44.423,-0.0592,-0.173,1.39055344875568E-18,40,-1.86792,-9.29653,0.067886496652602
169.66,-44.364,0.0172,0.018,4.08457478913849E-20,40,1.59193,2.83363,0.031445039176673
169.976,-44.897,0.0661,-0.0799,1.61048882491893E-19,25,13.38457,-19.67086,0.137861361015413
169.923,-44.938,0.0646,-0.084,1.44824937194492E-19,25,14.47281,-22.9103,0.1512561184596
169.859,-44.987,0.0553,-0.0753,1.19062067565999E-19,25,14.74489,-24.41222,0.156594692579821
169.783,-45.047,0.0635,-0.1005,9.724142386345E-20,25,13.90028,-26.77934,0.161206405945832
169.71,-45.108,0.0343,-0.0563,2.8639193717199E-19,25,5.24768,-10.4741,0.076435782974027
169.647,-45.168,-0.0045,0.0097,1.80531627394353E-19,25,-1.23384,3.23676,0.027551466853073
169.775,-45.325,-0.011,0.008,3.56904498682071E-22,40,-1.55508,3.16265,0.032962747983691
169.741,-45.352,0.0856,-0.0691,9.34492448891382E-19,53.31,3.58945,-8.57171,0.066110605069206
169.702,-45.381,0.0821,-0.0677,1.15878517457465E-18,55.998,3.46246,-8.79279,0.064251359340324
169.649,-45.427,-0.0146,0.0094,5.59359619972322E-22,40,-2.09392,4.31082,0.042214995047747
169.858,-44.815,0.0827,-0.0779,2.0075958171477E-19,40,12.99197,-21.2315,0.156526453627679
169.888,-44.789,0.1579,-0.0924,2.04116494591986E-19,42.099,5.29261,-26.46454,0.146372119188483
169.909,-44.756,0.0294,-0.0946,3.31594368137477E-18,80,0.51364,-28.20578,0.039622410596799
169.919,-44.721,-0.0532,-0.0975,6.2518579182379E-19,64.959,-1.31371,-28.33906,0.094663316179334
169.842,-44.808,-0.0667,-0.076,2.11127795068523E-19,40,-10.95215,-21.26844,0.147548163567704
169.836,-44.766,-0.079,-0.0863,1.48592520331296E-19,40,-14.39985,-26.8173,0.176722407481317
169.827,-44.707,-0.0726,-0.0894,1.90093146198445E-19,40,-3.68077,-26.67562,0.146486727638628
